Player,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Stephen Curry,,,,,,,"3,414,335","3,632,136","3,752,000","4,687,047","11,504,868","12,116,632","12,945,956","13,654,081","38,468,739","40,386,520","42,674,629","45,325,029","45,780,966"
James Harden,,,,,,,"5,106,790","5,365,636","5,542,635","6,891,221","15,904,415","16,750,126","17,896,589","29,918,259","31,388,759","32,960,751","40,518,442","43,479,158","44,310,840"
John Wall,,,,,,,,"6,412,407","6,656,420","7,004,248","8,680,071","15,618,561","16,769,198","17,761,997","20,035,826","20,668,989","40,518,442","43,479,158","44,310,840"
Russell Westbrook,,,,,,"4,337,997","4,730,762","5,008,136","6,117,578","16,183,445","17,097,246","17,918,740","19,063,757","29,918,259","31,388,759","38,454,209","40,844,595","43,588,654","44,211,146"
LeBron James,"5,944,063","6,187,794","6,456,167","7,804,183","17,006,102","17,893,184","19,877,042","18,074,424","19,285,887","20,772,824","22,186,187","23,533,315","26,152,553","34,904,635","36,919,409","38,442,511","39,710,023","41,334,069","41,180,544"
Kevin Durant,,,,,"5,439,344","5,567,697","6,042,352","7,545,963","18,664,950","20,777,369","21,843,723","22,795,904","25,015,562","29,918,259","27,729,174","32,346,173","39,457,722","42,271,404","42,018,900"
Paul George,,,,,,,,"2,790,142","2,896,331","3,047,691","3,818,808","18,011,004","19,241,120","20,403,860","21,406,922","32,950,723","35,009,652","37,361,703","39,344,970"
Kawhi Leonard,,,,,,,,,"2,084,717","2,204,464","2,317,532","3,480,647","18,680,395","19,883,125","20,928,455","24,921,719","34,730,093","36,232,632","39,344,900"
Damian Lillard,,,,,,,,,,"3,628,927","3,726,790","3,808,438","4,823,129","27,425,070","29,008,107","30,165,706","31,611,917","33,332,104","39,344,900"
Giannis Antetokounmpo,,,,,,,,,,,"2,085,751","2,135,329","2,224,637","3,376,692","24,925,101","26,046,545","27,411,865","29,012,251","39,344,900"
